Title,Summary,Categories,References,Links,Last_Edited,Word_Count,Image_Count,Section_Count,External_Links,First_Edit_Year
"Ethical, Legal and Social Aspects research","The acronyms ELSI (in the United States) and ELSA (in Europe) refer to research activities that anticipate and address ethical, legal and social implications (ELSI) or aspects (ELSA) of emerging sciences, notably genomics and nanotechnology. ELSI was conceived in 1988 when James Watson, at the press conference announcing his appointment as director of the Human Genome Project (HGP), suddenly and somewhat unexpectedly declared that the ethical and social implications of genomics warranted a special effort and should be directly funded by the National Institutes of Health.[1]",Social responsibility;Bioethics;Science and technology studies;Futures studies;Science in society,8,35,13-May-24,233,0,4,3,2024
Ethnoscience,"Ethnoscience has been defined as an attempt ""to reconstitute what serves as science for others, their practices of looking after themselves and their bodies, their botanical knowledge, but also their forms of classification, of making connections, etc."" (Augé, 1999: 118).",Science in society;Anthropology;Race (human categorization);Culture;Traditional knowledge;Traditional medicine,0,285,19-Sep-24,2537,0,9,14,2024
Evolution@Home,"evolution@home was a volunteer computing project for evolutionary biology, launched in 2001.[1][2] The aim of evolution@home is to improve understanding of evolutionary processes. This is achieved by simulating individual-based models. The Simulator005 module of evolution@home was designed to better predict the behaviour of Muller's ratchet.[2][3]",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Digital organisms;Bioinformatics,4,143,23-Jul-23,106,1,2,8,2023
Fascial Net Plastination Project,"The Fascial Net Plastination Project is an anatomical research initiative established in 2018 aimed at plastinating and studying the human fascial network. The collaboration was initiated by Robert Schleip as a joint effort between Body Worlds, Fascia Research Group, and the Fascia Research Society. The project focuses on preserving the fascia, a complex connective tissue network that plays a crucial role in the human body's structure and function.",Anatomy;Medical education;Anatomical preservation;Exhibitions;Human anatomy;Biological techniques and tools;Educational projects;Science in society;Medical research;2018 establishments,13,177,25-Jan-25,1268,1,13,17,2025
Feminist philosophy of science,"Feminist philosophy of science is a branch of feminist philosophy that seeks to understand how the acquirement of knowledge through scientific means has been influenced by notions of gender identity and gender roles in society.  Feminist philosophers of science question how scientific research and scientific knowledge itself may be influenced and possibly compromised by the social and professional framework within which that research and knowledge is established and exists. The intersection of gender and science allows feminist philosophers to reexamine fundamental questions and truths in the field of science to reveal how gender biases may influence scientific outcomes.[1] The feminist philosophy of science has been described as being located ""at the intersections of the philosophy of science and feminist science scholarship""[2] and has attracted considerable attention since the 1980s.[3]",Epistemology of science;Feminist philosophy;Feminist theory;Philosophy of science;Science in society;Women in science and technology,23,304,1-Dec-24,1840,2,8,56,2024
FreeHAL,FreeHAL was a volunteer computing project to build a self-learning chatbot. This project is no longer active.[1],Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Free simulation software;History of artificial intelligence;Chatbots;Software using the GNU General Public License;Free artificial intelligence applications;Computer science stubs;Computer network stubs,5,169,8-Jan-25,226,5,4,14,2025
Frontiers of Science,"Frontiers of Science was an illustrated comic strip created by Professor Stuart Butler of the School of Physics at the University of Sydney in collaboration with Robert Raymond, a documentary maker from the Australian Broadcasting Corporation (ABC) in 1961.[1] The artist was Andrea Bresciani.[2] After 1970 the comic was illustrated by David Emerson.[3]",Australian comic strips;1961 comics debuts;1987 comics endings;Science in society;Educational comics;Comic strip stubs,7,134,12-Jun-23,161,3,2,14,2023
Funding of science,,Innovation economics;Research;Science in society;Assistance,86,1151,21-Mar-25,3600,44,17,291,2025
Google Science Fair,,Google events;Science competitions;Youth science;Science in society;Recurring events established in 2011,29,1110,24-Apr-25,1859,4,12,38,2025
GPUGRID.net,GPUGRID is a volunteer computing project hosted by Pompeu Fabra University and running on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform. It performs full-atom molecular biology simulations that are designed to run on Nvidia's CUDA-compatible graphics processing units.,Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects,1,138,8-Feb-25,110,1,5,7,2025
GridRepublic,,Berkeley Open Infrastructure for Network Computing projects;Volunteer computing;Science in society,6,151,26-Sep-23,163,3,4,15,2023
HashClash,"HashClash was a volunteer computing project running on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform to find collisions in the MD5 hash algorithm.[1] It was based at Department of Mathematics and Computer Science at the Eindhoven University of Technology, and Marc Stevens initiated the project as part of his master's degree thesis.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Cryptography;Cryptanalytic software;Computer engineering stubs,4,151,13-Dec-23,108,3,3,11,2023
Help Conquer Cancer,Help Conquer Cancer is a volunteer computing project that runs on the BOINC platform. It is a joint project of the Ontario Cancer Institute and the Hauptman-Woodward Medical Research Institute. It is also the first project under World Community Grid to run with a GPU counterpart.[1],Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Cancer organizations based in Canada;Volunteer computing projects;Computing stubs,1,139,17-Jun-24,104,3,4,9,2024
Help Cure Muscular Dystrophy,Help Cure Muscular Dystrophy is a volunteer computing project that runs on the BOINC platform.,Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Muscular dystrophy organizations;Volunteer computing projects;Computing stubs,10,221,16-Apr-25,122,2,5,43,2025
Helsinki Challenge,"Helsinki Challenge is a science-based competition and idea accelerator which brings together the academic community and society at large to solve the world's grand challenges in cooperation. The competition goal is not only to create new scientific information, but to influence society.[1][2]",University of Helsinki;Science in society,11,76,27-Jul-24,685,1,6,16,2024
Ibercivis,"Ibercivis was a volunteer computing platform which allows internet users to participate in scientific research by donating unused computer cycles to run scientific simulations and other tasks. The original project, which became operational in 2008, was a scientific collaboration between the Portuguese and Spanish governments, but it is open to the general public and scientific community, both within and beyond the Iberian Peninsula. The project's name is a portmanteau of Iberia and the Latin word civis, meaning 'citizen'.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Cross-platform free software,11,283,31-Aug-24,500,3,8,38,2024
Industry funding of academic research,"Industry funding of academic research in the United States is one of the two major sources of research funding in academia along with government support. Currently, private funding of research accounts for the majority of all research and development funding in the United States as of 2007 overall.[1] Overall, Federal and Industrial sources contribute similar amounts to research, while industry funds the vast majority of development work.[1]",Research ethics;Criticism of academia;Science in society;Research and development in the United States,30,249,20-Apr-25,1733,0,8,64,2025
Insect Fear Film Festival,"The Insect Fear Film Festival or IFFF is an annual free event held every spring since 1984, and is the first university-sponsored event of its kind in the U.S., typically taking place on a Saturday in February.[1] Organized by the Entomology Graduate Students Association at University of Illinois Urbana-Champaign, the festival blends education with entertainment. It showcases films, shorts, and TV episodes that highlight insect biology and celebrate the role of insects in popular culture.[2]",Film festivals in Illinois;Insects in popular culture;University of Illinois Urbana-Champaign;Fear;Film festivals established in 1984;Science in society;Science communication;Popular science;Films about arthropods;Films about insects,54,613,15-Apr-25,5350,1,42,57,2025
International Network of Engineers and Scientists for Global Responsibility,The International Network of Engineers and Scientists for global responsibility (INES) is an independent non-profit-organization concerned about the impact of science and technology on society.,Science in society;Ethics of science and technology;International Campaign to Abolish Nuclear Weapons,0,37,4-Jan-23,431,1,9,8,2023
International Science Festival in Gothenburg,The International Science Festival in Gothenburg (Swedish: Vetenskapsfestivalen) is an annual festival in Gothenburg with science activities.,1997 establishments in Sweden;Festivals in Sweden;Science education;Science in society;Tourist attractions in Gothenburg,9,62,14-Apr-24,148,1,5,20,2024
Italian Union of Scientists for Disarmament,The Italian Union of Scientists for Disarmament (Unione Scienziati per il Disarmo in Italian) is an association established in 1982 with the purpose of providing information and analysis of arms control and disarmament. Members of the association believe that this task is part of the social responsibility of scientists.,Peace organisations based in Italy;Organizations established in 1982;Anti–nuclear weapons movement;Science in society;1982 establishments in Italy,3,50,20-Sep-24,230,3,2,12,2024
The Lattice Project,"The Lattice Project was a volunteer computing project that combined computing resources, Grid middleware, specialized scientific application software and web services into a comprehensive Grid computing system for scientific analysis. It ran the Genetic Algorithm for Rapid Likelihood Inference (GARLI) software to determine the relationships between different genetic samples.[1]",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Science software stubs,1,118,10-Oct-22,123,1,2,3,2022
Leiden Classical,"Leiden Classical[1] was a volunteer computing project run by the Theoretical Chemistry Department of the Leiden Institute of Chemistry at Leiden University.  Leiden Classical used the BOINC system, and enabled scientists or science students to submit their own test simulations of various molecules and atoms in a classical mechanics environment. ClassicalDynamics is a program (and with it a library) completely written in C++. The library is covered by the LGPL license and the main program is covered by the GPL.[2] The project shut down on June 5, 2018.[3]",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Computer science stubs;Computing stubs,3,162,24-Nov-23,175,3,5,13,2023
Leo Szilard Lectureship Award,"The Leo Szilard Lectureship Award (originally called the Leo Szilard Award)[1] is given annually by the American Physical Society (APS) for ""outstanding accomplishments by physicists in promoting the use of physics for the benefit of society"".[2] It is given internationally in commemoration of physicist Leo Szilard.[1][3]",Awards of the American Physical Society;Science in society;Science lecture series;Recurring events established in 1974;1974 establishments in the United States;Physics events,8,176,20-Aug-24,161,1,3,10,2024
LHC@home,,Berkeley Open Infrastructure for Network Computing projects;E-Science;Free science software;Large Hadron Collider;Science in society;Volunteer computing projects,9,310,3-Feb-25,426,6,11,38,2025
Lincoln's Birthday Committee for Democracy and Intellectual Freedom,The Lincoln's Birthday Committee for Democracy and Intellectual Freedom (LBCDIF) was an antifascist organization of scientists founded by Franz Boas in 1938 to discredit the theories of race being forwarded by the Nazis in Germany.,Science in society;Anti-racist organizations in Europe;Anti-fascist organizations in the United States;Organizations established in 1938,0,27,9-Apr-23,222,0,1,2,2023
List of Astronomy Outreach Resources in Europe,This is a List of Astronomy Outreach Resources in Europe originally started as an initiative within the framework of the Astronet EU FP7 project.,Astronomy in Europe;Science in society,1,116,9-Feb-24,24,1,13,48,2024
Malaria Control Project,malariacontrol.net was a volunteer computing project to simulate the transmission dynamics and health effects of malaria. It was part of the Africa@home project.[3],Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Malaria;Volunteer computing projects,18,231,9-Mar-25,445,1,5,39,2025
March of Progress,,1965 works;Human evolution;Paleoart;Science in society;Science education;Infographics,15,177,25-Jan-25,1054,10,9,15,2025
Material World (radio programme),,BBC Radio 4 programmes;Educational broadcasting in the United Kingdom;Science podcasts;Science in society;1998 radio programme debuts;Science and technology in the United Kingdom;Open University;Science radio programs,3,43,17-Feb-25,299,0,5,10,2025
MilkyWay@home,"MilkyWay@home is a volunteer computing project in the astrophysics category, running on the Berkeley Open Infrastructure for Network Computing (BOINC) platform.  Using spare computing power from over 38,000 computers run by over 27,000 active volunteers as of November 2011[update],[3] the MilkyWay@home project aims to generate accurate three-dimensional dynamic models of stellar streams in the immediate vicinity of the Milky Way. With SETI@home and Einstein@home, it is the third computing project of this type that has the investigation of phenomena in interstellar space as its primary purpose. Its secondary objective is to develop and optimize algorithms for volunteer computing.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Free astronomy software;Extragalactic astronomy,7,399,18-Mar-25,733,9,6,111,2025
MindModeling@Home,"MindModeling@Home[2] is an inactive non-profit, volunteer computing research project for the advancement of cognitive science.  MindModeling@Home is hosted by Wright State University and the University of Dayton in Dayton, Ohio.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Cognitive modeling;Wright State University;University of Dayton;Computer science stubs,16,229,8-Feb-25,102,3,6,47,2025
Neo-colonial science,"Neo-colonial research or neo-colonial science,[1][2] frequently described as helicopter research,[1] parachute science[3][4] or research,[5] parasitic research,[6][7] or  safari study,[8] is when researchers from wealthier countries go to a developing country, collect information, travel back to their country, analyze the data and samples, and publish the results with no or little involvement of local researchers. A 2003 study by the Hungarian Academy of Sciences found that 70% of articles in a random sample of publications about least-developed countries did not include a local research co-author.[2]",Ethics of science and technology;Science in society,31,444,18-Mar-25,1254,2,15,79,2025
OProject@Home,"OProject@Home was a  volunteer computing[2] project running on the Berkeley Open Infrastructure for Network Computing (BOINC) and was based on a dedicated library OLib.[3] The project was directed by Lukasz Swierczewski, an IT student at the College of Computer Science and Business Administration in Łomża, Computer Science and Automation Institute. As of 2016 it seems to have been abandoned.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects,11,205,20-Nov-23,613,2,2,17,2023
orbit@home,"orbit@home[1] was a BOINC-based volunteer computing project of the Planetary Science Institute.  It uses the ""Orbit Reconstruction, Simulation and Analysis""[2] framework to optimize the search strategies that are used to find near-Earth objects.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Near-Earth object tracking;Astronomy stubs;Network software stubs,4,232,6-Nov-22,155,3,3,10,2022
People's science movement,"The people's science movement (PSM) aims to popularise science and scientific outlook among common people. Kerala Sasthra Sahithya Parishad, Bharat Gyan Vigyan Samiti, Assam Science Society, Bigyan Prachar Samiti (Orissa), We the Sapiens and the All India Peoples Science Network are some popular people's science movements in India.[1]",Scientific organisations based in India;Social movements in India;Science in society,1,22,11-Nov-23,48,0,2,6,2023
Physics outreach,"Physics outreach encompasses facets of science outreach and physics education, and a variety of activities by schools, research institutes, universities, clubs and institutions such as science museums aimed at broadening the audience for and awareness and understanding of physics. While the general public may sometimes be the focus of such activities, physics outreach often centers on developing and providing resources and making presentations to students, educators in other disciplines, and in some cases researchers within different areas of physics.[1][2][3]",Physics education;History of physics;Science in society;Science communication,45,383,14-Jan-25,932,1,27,49,2025
POEM@Home,"POEM@Home was a volunteer computing project hosted by the Karlsruhe Institute of Technology and running on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform. It modeled protein folding using Anfinsen's dogma. POEM@Home was started in 2007 and, due to advances using GPUs that rendered the BOINC program redundant, concluded in October 2016.[1][2] The POEM@home applications were proprietary.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects,2,130,23-Sep-22,106,2,4,6,2022
Policy advocacy,"Policy advocacy is defined as active, covert, or inadvertent support of a particular policy or class of policies.[1] Advocacy can include a variety of activities including, lobbying, litigation, public education, and forming relationships with parties of interest. Advocating for policy can take place from a local level to a state or federal government. For example, a local advocacy group in Brunswick, Georgia, Defenders of Wildlife, advocated for the passage of the H.R. 5552 Migratory Bird Protection Act during 2020 when rollbacks to the bill were introduced from the Trump Administration.[2] At the state level, advocacy for policy can be a joint effort between advocacy groups. In the United States, advocacy groups around the nation planned joint efforts to get the Uniform Partition of Heirs Property Act (UPHPA) signed into law in each of their respective states and in 2018, the bill was signed into law by Texas Governor Greg Abbott making it the tenth state to enforce this law.[3]",Science in society;Advocacy groups;Activism by type,10,95,14-Nov-24,545,0,4,32,2024
List of common misconceptions,Unknown,Lists of common misconceptions;Arts-related lists;History-related lists;Misconceptions;Science-related lists;Society-related lists,2,1615,5-Apr-25,0,1,0,24,2024
Positive computing,"Positive computing is a technological design perspective that embraces psychological well-being and ethical practice, aiming at building a digital environment to support happier and healthier users. Positive computing develops approaches that integrate insights from psychology, education, neuroscience, and HCI with technological development.[1][2]
The purpose of positive computing is to bridge the technology and mental health worlds.[3]
Indeed, there are computer and mental health workshops that are aimed to bring people from both communities together.[4]",Human–computer interaction;Science and technology studies;Technology in society;Science in society;Cyberpsychology;Cybernetics,23,241,7-Nov-24,726,2,17,58,2024
Predictor@home,"Predictor@home was a volunteer computing project that used BOINC[1] software to predict protein structure from protein sequence in the context of the 6th biannual CASP, or Critical Assessment of Techniques for Protein Structure Prediction. A major goal of the project was the testing and evaluating of new algorithms to predict both known and unknown protein structures.[2]",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Scripps Research;University of Michigan;Science software stubs,11,181,5-Nov-22,280,2,4,22,2022
PrimeGrid,"PrimeGrid is a volunteer computing project that searches for very large (up to world-record size) prime numbers whilst also aiming to solve long-standing mathematical conjectures. It uses the Berkeley Open Infrastructure for Network Computing (BOINC) platform. PrimeGrid offers a number of subprojects for prime-number sieving and discovery. Some of these are available through the BOINC client, others through the PRPNet client. Some of the work is manual, i.e. it requires manually starting work units and uploading results. Different subprojects may run on different operating systems, and may have executables for CPUs, GPUs, or both; while running the Lucas–Lehmer–Riesel test, CPUs with Advanced Vector Extensions and Fused Multiply-Add instruction sets will yield the fastest results for non-GPU accelerated workloads.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Distributed prime searches;Cross-platform free software,50,421,1-Apr-25,1030,5,15,108,2025
Project CETI,"Project CETI is an international initiative to understand the acoustic communication of sperm whales using advances in artificial intelligence.[1][2] The project has an interdisciplinary scientific board including marine biologists, artificial intelligence researchers, roboticists, theoretical computer scientists, and linguists. Its name,  Cetacean Translation Initiative,[3] is a reference to the SETI Institute.[4] The project has a base on the island of Dominica where recordings are being collected.[5] 
Off the coast of Alaska, CETI succeeded in the first intentional human-whale interaction in humpback whale ""language"".[6][7]
The organization has been selected as a TED Audacious Project.[8] 
CETI researchers have identified 156 distinct codas and their basic components, a ""sperm whale phonetic alphabet"" much like phonemes.[9]",Human–animal communication;Organizations established in 2020;Science in society;Interspecies communication;Animal communication,9,104,17-Apr-25,111,2,2,15,2025
proteins@home,"proteins@home[1] was a volunteer computing project that used the BOINC architecture. The project was run by the Department of Biology at École Polytechnique. The project began on December 28, 2006, and ended in June 2008.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Protein structure;Volunteer computing projects;Computer science stubs;Computing stubs,2,146,8-Feb-25,271,4,4,10,2025
